,OpenFace (Similarity) LFW,x
0,0.7285,0
1,0.500833333333,1
2,0.530333333333,2
3,0.554,3
4,0.564833333333,4
5,0.576166666667,5
6,0.586,6
7,0.590833333333,7
8,0.595333333333,8
9,0.600833333333,9
10,0.607166666667,10
11,0.610666666667,11
12,0.615833333333,12
13,0.619166666667,13
14,0.623166666667,14
15,0.626333333333,15
16,0.628666666667,16
17,0.632333333333,17
18,0.633833333333,18
19,0.635666666667,19
20,0.6375,20
21,0.6385,21
22,0.640333333333,22
23,0.641666666667,23
24,0.643166666667,24
25,0.645,25
26,0.646166666667,26
27,0.648,27
28,0.649,28
29,0.650833333333,29
30,0.651833333333,30
31,0.653166666667,31
32,0.654166666667,32
33,0.654666666667,33
34,0.6565,34
35,0.657666666667,35
36,0.659166666667,36
37,0.659833333333,37
38,0.660666666667,38
39,0.661666666667,39
40,0.661833333333,40
41,0.662166666667,41
42,0.662333333333,42
43,0.662666666667,43
44,0.663833333333,44
45,0.664166666667,45
46,0.665166666667,46
47,0.665833333333,47
48,0.666333333333,48
49,0.667,49
50,0.6685,50
51,0.6685,51
52,0.6695,52
53,0.669833333333,53
54,0.671166666667,54
55,0.672,55
56,0.672,56
57,0.672333333333,57
58,0.672833333333,58
59,0.673166666667,59
60,0.673333333333,60
61,0.674,61
62,0.674166666667,62
63,0.674833333333,63
64,0.675166666667,64
65,0.676,65
66,0.676,66
67,0.676333333333,67
68,0.676833333333,68
69,0.677166666667,69
70,0.677333333333,70
71,0.677666666667,71
72,0.677833333333,72
73,0.678,73
74,0.678333333333,74
75,0.678333333333,75
76,0.678333333333,76
77,0.678666666667,77
78,0.678833333333,78
79,0.678833333333,79
80,0.679666666667,80
81,0.68,81
82,0.680166666667,82
83,0.681,83
84,0.681,84
85,0.681,85
86,0.6815,86
87,0.681666666667,87
88,0.681833333333,88
89,0.682,89
90,0.682333333333,90
91,0.682666666667,91
92,0.683666666667,92
93,0.685,93
94,0.685,94
95,0.685,95
96,0.685166666667,96
97,0.6855,97
98,0.6855,98
99,0.685833333333,99
100,0.686166666667,100
101,0.686666666667,101
102,0.687,102
103,0.6875,103
104,0.688,104
105,0.688,105
106,0.6885,106
107,0.6885,107
108,0.688666666667,108
109,0.688833333333,109
110,0.689,110
111,0.689333333333,111
112,0.689333333333,112
113,0.6895,113
114,0.689833333333,114
115,0.6905,115
116,0.691333333333,116
117,0.691833333333,117
118,0.692,118
119,0.692333333333,119
120,0.692666666667,120
121,0.693,121
122,0.693166666667,122
123,0.693166666667,123
124,0.693166666667,124
125,0.693166666667,125
126,0.693333333333,126
127,0.6935,127
128,0.6935,128
129,0.6935,129
130,0.693666666667,130
131,0.694333333333,131
132,0.694333333333,132
133,0.696,133
134,0.696333333333,134
135,0.696666666667,135
136,0.696833333333,136
137,0.697166666667,137
138,0.697333333333,138
139,0.6975,139
140,0.6975,140
141,0.6975,141
142,0.6975,142
143,0.697833333333,143
144,0.697833333333,144
145,0.697833333333,145
146,0.697833333333,146
147,0.697833333333,147
148,0.697833333333,148
149,0.698,149
150,0.698,150
151,0.698333333333,151
152,0.6985,152
153,0.6985,153
154,0.698666666667,154
155,0.698833333333,155
156,0.698833333333,156
157,0.698833333333,157
158,0.698833333333,158
159,0.698833333333,159
160,0.698833333333,160
161,0.699166666667,161
162,0.699333333333,162
163,0.699333333333,163
164,0.6995,164
165,0.699666666667,165
166,0.7,166
167,0.700166666667,167
168,0.7005,168
169,0.7005,169
170,0.7005,170
171,0.7005,171
172,0.7005,172
173,0.7005,173
174,0.7005,174
175,0.7005,175
176,0.7005,176
177,0.700666666667,177
178,0.700666666667,178
179,0.700666666667,179
180,0.700833333333,180
181,0.700833333333,181
182,0.701,182
183,0.701,183
184,0.701333333333,184
185,0.701333333333,185
186,0.7015,186
187,0.7015,187
188,0.701666666667,188
189,0.701666666667,189
190,0.701666666667,190
191,0.701833333333,191
192,0.701833333333,192
193,0.701833333333,193
194,0.702,194
195,0.702,195
196,0.702166666667,196
197,0.702166666667,197
198,0.702166666667,198
199,0.702166666667,199
